driver_id,timestamp,hour,is_peak,is_weekend,ride_type,distance,traffic,fuel_price,surge,revenue,profit
DRV_0015,2026-02-02T02:19:30.751970,2,0,0,local,53.74,6.7,109.87,1.3,857.82,40.49
DRV_0038,2026-05-29T06:25:30.751970,6,0,0,local,35.46,5.4,94.88,1.4,616.74,120.26
DRV_0015,2026-04-19T16:22:30.751970,16,0,1,airport,56.55,9.6,112.87,1.2,1082.27,-5.41
DRV_0005,2026-05-28T14:31:30.751970,14,0,0,outstation,2.9,9.4,100.7,1.5,74.64,5.15
DRV_0014,2026-02-03T09:09:30.751970,9,1,0,peak_city,51.37,3.9,94.24,2.1,1325.92,655.36
DRV_0016,2026-01-27T11:40:30.751970,11,0,0,peak_city,56.3,7.3,104.25,1.0,690.56,-181.23
DRV_0007,2026-02-13T03:14:30.751970,3,0,0,airport,52.89,7.7,107.43,1.4,1109.51,232.85
DRV_0027,2025-12-28T03:04:30.751970,3,0,1,peak_city,22.85,3.6,110.23,1.4,454.89,158.27
DRV_0004,2026-02-14T17:23:30.751970,17,1,1,airport,48.3,6.8,107.55,2.6,1795.99,1132.52
DRV_0016,2026-03-02T17:05:30.751970,17,1,0,airport,53.62,4.0,99.39,1.2,990.13,288.65
DRV_0009,2026-04-26T09:52:30.751970,9,1,1,peak_city,29.0,5.9,97.16,2.2,848.72,448.38
DRV_0016,2026-02-26T11:09:30.751970,11,0,0,peak_city,3.77,1.3,110.57,1.2,72.27,26.21
DRV_0004,2026-05-26T01:35:30.751970,1,0,0,airport,46.66,2.9,105.57,1.0,774.92,155.45
DRV_0006,2025-12-29T22:33:30.751970,22,0,0,airport,5.0,5.8,103.52,1.3,297.46,185.94
DRV_0031,2026-04-15T11:00:30.751970,11,0,0,peak_city,48.12,3.4,100.97,1.0,592.45,-15.96
DRV_0011,2026-04-21T03:29:30.751970,3,0,0,airport,3.47,9.7,110.9,1.3,273.64,182.18
DRV_0030,2026-03-09T16:02:30.751970,16,0,0,outstation,11.07,3.3,103.73,1.4,207.03,58.35
DRV_0010,2026-04-02T02:42:30.751970,2,0,0,peak_city,40.29,3.5,113.87,1.4,697.9,191.66
DRV_0038,2026-04-27T07:13:30.751970,7,1,0,airport,26.34,3.2,98.9,2.5,1027.6,719.29
DRV_0004,2026-01-27T14:39:30.751970,14,0,0,outstation,2.83,2.0,91.15,1.0,49.02,25.27
DRV_0004,2026-06-01T21:56:30.751970,21,0,0,local,29.5,1.9,102.29,1.2,442.83,98.61
DRV_0005,2026-02-04T13:32:30.751970,13,0,0,local,12.05,4.9,99.96,1.3,207.41,37.11
DRV_0026,2026-01-13T13:43:30.751970,13,0,0,local,23.73,6.6,102.58,1.4,419.62,70.85
DRV_0040,2026-05-14T22:11:30.751970,22,0,0,airport,40.2,2.5,91.76,1.3,846.69,377.5
DRV_0017,2026-05-25T02:44:30.751970,2,0,0,outstation,56.53,6.2,99.7,1.3,901.42,88.16
DRV_0016,2026-04-22T18:41:30.751970,18,1,0,outstation,28.58,5.9,113.54,1.8,644.3,222.09
DRV_0030,2026-04-08T04:18:30.751970,4,0,0,outstation,6.13,3.9,111.12,1.0,88.55,-7.26
DRV_0040,2026-03-26T14:26:30.751970,14,0,0,peak_city,49.24,3.5,92.95,1.3,787.63,203.38
DRV_0033,2026-01-21T13:22:30.751970,13,0,0,local,44.63,8.2,97.05,1.1,605.67,-108.33
DRV_0005,2026-04-08T11:27:30.751970,11,0,0,outstation,45.54,8.3,114.76,1.2,673.71,-91.0
DRV_0029,2026-04-13T05:08:30.751970,5,0,0,local,21.77,9.4,111.46,1.2,331.44,-91.8
DRV_0043,2026-01-25T18:07:30.751970,18,1,1,airport,45.55,7.8,92.58,2.8,1822.5,1151.93
DRV_0009,2026-01-24T06:27:30.751970,6,0,1,airport,20.56,9.1,99.73,1.0,511.75,151.31
DRV_0048,2026-04-08T12:30:30.751970,12,0,0,airport,54.51,1.8,97.98,1.5,1203.72,557.78
DRV_0039,2026-01-24T12:09:30.751970,12,0,1,outstation,38.65,5.0,97.33,1.2,624.51,122.01
DRV_0044,2026-04-21T18:05:30.751970,18,1,0,local,41.01,7.8,109.79,2.6,1318.39,644.84
DRV_0017,2026-01-03T07:54:30.751970,7,1,1,peak_city,5.34,5.9,101.04,2.8,271.37,177.82
DRV_0018,2026-06-01T13:46:30.751970,13,0,0,peak_city,22.35,2.1,93.57,1.4,396.53,119.16
DRV_0041,2026-06-03T16:05:30.751970,16,0,0,local,6.88,7.3,91.82,1.4,136.55,40.16
DRV_0036,2026-04-08T10:39:30.751970,10,0,0,peak_city,42.96,1.7,92.12,1.5,795.82,274.36
DRV_0008,2025-12-16T02:51:30.751970,2,0,0,airport,49.14,9.5,114.65,1.4,1046.59,64.95
DRV_0035,2026-05-25T17:29:30.751970,17,1,0,local,23.82,1.8,109.43,2.1,631.84,348.25
DRV_0028,2026-06-05T04:49:30.751970,4,0,0,local,8.45,5.4,90.28,1.2,139.67,25.86
DRV_0003,2026-05-13T15:07:30.751970,15,0,0,outstation,5.27,2.1,92.94,1.3,101.64,50.76
DRV_0043,2026-03-15T09:43:30.751970,9,1,1,local,57.81,4.4,97.14,2.7,1963.41,1247.06
DRV_0040,2026-05-19T04:37:30.751970,4,0,0,peak_city,14.97,9.7,90.3,1.5,291.93,25.86
DRV_0012,2026-05-06T08:31:30.751970,8,1,0,local,6.28,6.0,114.23,2.0,180.72,86.33
DRV_0027,2026-03-01T16:15:30.751970,16,0,1,outstation,38.51,7.3,101.36,1.3,670.18,98.06
DRV_0018,2025-12-24T16:35:30.751970,16,0,0,local,4.64,3.5,113.76,1.4,98.88,39.43
DRV_0003,2026-05-04T18:20:30.751970,18,1,0,peak_city,28.43,6.6,96.93,1.4,498.59,47.06
DRV_0023,2026-02-14T09:14:30.751970,9,1,1,peak_city,35.85,1.7,114.36,3.0,1385.67,911.41
DRV_0043,2026-03-28T09:12:30.751970,9,1,1,airport,42.49,5.8,97.74,2.6,1614.79,1008.07
DRV_0005,2026-04-26T04:05:30.751970,4,0,1,outstation,54.83,8.4,113.74,1.4,992.21,43.67
DRV_0044,2026-04-04T04:45:30.751970,4,0,1,peak_city,37.58,4.8,113.32,1.4,702.31,191.68
DRV_0017,2026-01-28T06:25:30.751970,6,0,0,airport,59.26,2.4,104.85,1.2,1071.37,319.16
DRV_0007,2026-04-29T22:10:30.751970,22,0,0,airport,58.26,8.6,110.96,1.2,1056.87,3.09
DRV_0028,2026-01-13T03:04:30.751970,3,0,0,outstation,5.27,8.8,110.32,1.5,117.36,11.54
DRV_0037,2026-01-10T00:19:30.751970,0,0,1,peak_city,59.8,6.0,109.22,1.5,1148.99,258.02
DRV_0001,2026-04-27T08:24:30.751970,8,1,0,peak_city,28.13,2.2,113.85,2.2,775.67,420.62
DRV_0024,2026-01-31T22:43:30.751970,22,0,1,local,15.26,7.0,105.45,1.2,287.76,59.8
DRV_0040,2026-02-24T13:44:30.751970,13,0,0,outstation,32.18,8.0,103.0,1.4,561.59,26.02
DRV_0047,2026-03-25T18:32:30.751970,18,1,0,airport,34.01,6.0,111.92,1.8,961.63,465.61
DRV_0021,2026-03-30T00:07:30.751970,0,0,0,peak_city,42.84,2.9,93.41,1.0,529.04,42.68
DRV_0013,2026-03-02T18:08:30.751970,18,1,0,local,22.33,6.3,99.81,1.9,537.72,211.66
DRV_0040,2026-02-26T19:02:30.751970,19,1,0,local,31.81,8.1,99.91,2.2,872.82,375.09
DRV_0020,2026-01-20T07:01:30.751970,7,1,0,airport,52.02,9.5,93.68,2.9,2053.69,1080.95
DRV_0030,2026-04-02T09:59:30.751970,9,1,0,outstation,28.63,9.8,102.32,1.7,609.55,58.61
DRV_0033,2026-02-21T01:43:30.751970,1,0,1,local,38.74,3.2,91.9,1.1,577.83,120.53
DRV_0019,2026-02-12T17:16:30.751970,17,1,0,airport,12.55,4.1,112.42,1.9,514.62,322.58
DRV_0006,2026-02-02T18:46:30.751970,18,1,0,outstation,40.72,2.6,94.81,1.1,553.98,57.2
DRV_0013,2026-04-14T19:07:30.751970,19,1,0,local,12.27,1.8,93.02,1.9,308.18,150.69
DRV_0031,2026-05-08T16:24:30.751970,16,0,0,local,13.97,4.3,102.59,1.3,237.39,38.54
DRV_0041,2026-01-09T13:57:30.751970,13,0,0,peak_city,52.67,9.3,91.53,1.1,711.71,-200.73
DRV_0032,2026-01-18T09:41:30.751970,9,1,1,peak_city,48.76,7.7,94.61,1.4,890.16,135.44
DRV_0049,2026-03-04T09:17:30.751970,9,1,0,airport,37.86,4.3,101.56,2.5,1373.26,827.91
DRV_0045,2026-05-18T03:12:30.751970,3,0,0,local,4.13,3.3,107.83,1.4,90.34,97.83
DRV_0008,2026-02-02T02:23:30.751970,2,0,0,local,8.22,5.0,103.32,1.1,124.95,34.75
DRV_0043,2026-02-18T11:35:30.751970,11,0,0,peak_city,17.62,4.4,90.5,1.2,271.67,38.69
DRV_0049,2026-01-29T22:48:30.751970,22,0,0,outstation,8.95,9.0,104.84,1.3,159.06,-21.94
DRV_0036,2026-02-20T20:34:30.751970,20,1,0,peak_city,47.77,5.5,92.17,2.1,1235.35,632.77
DRV_0029,2026-02-20T10:39:30.751970,10,0,0,peak_city,27.04,2.1,97.09,1.2,407.32,95.24
DRV_0050,2026-04-09T08:33:30.751970,8,1,0,outstation,39.46,6.1,98.9,3.0,1465.68,878.78
DRV_0018,2026-02-01T00:46:30.751970,0,0,1,local,7.9,2.4,96.15,1.1,170.82,87.54
DRV_0016,2026-02-22T13:41:30.751970,13,0,1,outstation,12.82,3.6,94.33,1.4,286.39,129.2
DRV_0009,2026-04-06T06:06:30.751970,6,0,0,airport,25.8,9.8,92.8,1.2,589.56,92.55
DRV_0046,2026-05-07T09:02:30.751970,9,1,0,local,58.23,8.8,110.43,1.5,1070.63,42.83
DRV_0022,2026-04-21T14:00:30.751970,14,0,0,peak_city,55.9,6.0,104.29,1.1,754.43,-71.67
DRV_0014,2026-01-27T02:00:30.751970,2,0,0,airport,46.63,2.7,98.09,1.2,889.48,287.53
DRV_0049,2026-02-27T03:29:30.751970,3,0,0,airport,8.66,6.5,97.22,1.3,354.6,231.41
DRV_0023,2026-01-18T03:56:30.751970,3,0,1,airport,10.95,5.3,103.31,1.0,396.44,227.06
DRV_0035,2026-03-30T03:32:30.751970,3,0,0,peak_city,5.68,9.9,98.06,1.4,116.35,0.12
DRV_0032,2026-01-25T20:29:30.751970,20,1,1,local,16.77,7.1,109.01,2.2,525.71,213.09
DRV_0002,2026-04-19T07:59:30.751970,7,1,1,peak_city,22.23,9.4,110.77,2.9,867.26,432.57
DRV_0047,2026-03-07T05:44:30.751970,5,0,1,peak_city,9.21,7.6,113.46,1.1,188.06,38.32
DRV_0040,2026-05-03T01:28:30.751970,1,0,1,local,35.32,8.6,93.49,1.4,664.37,82.95
DRV_0038,2026-01-29T15:28:30.751970,15,0,0,peak_city,13.69,2.5,94.11,1.4,251.07,94.4
DRV_0042,2026-01-20T19:25:30.751970,19,1,0,airport,22.81,8.9,99.81,2.6,950.74,598.01
DRV_0012,2026-02-25T11:31:30.751970,11,0,0,peak_city,27.47,4.4,101.57,1.2,413.57,50.58
DRV_0014,2026-06-02T08:02:30.751970,8,1,0,outstation,15.47,9.1,99.6,2.1,421.3,182.55
DRV_0018,2026-02-18T06:05:30.751970,6,0,0,peak_city,54.58,6.6,92.92,1.5,1004.86,202.87
DRV_0031,2026-02-27T07:33:30.751970,7,1,0,airport,10.08,8.1,105.5,2.1,485.46,341.17
DRV_0023,2026-06-09T16:52:30.751970,16,0,0,airport,53.85,8.1,93.79,1.2,993.38,162.18
DRV_0049,2026-04-17T20:22:30.751970,20,1,0,airport,3.94,6.1,109.06,2.8,374.55,298.91
DRV_0040,2026-06-07T09:14:30.751970,9,1,1,airport,21.84,8.4,92.77,2.7,998.14,641.91
DRV_0043,2026-05-06T09:18:30.751970,9,1,0,peak_city,48.24,2.3,95.73,2.4,1425.4,830.53
DRV_0045,2026-05-15T22:13:30.751970,22,0,0,peak_city,43.76,6.8,107.35,1.3,702.19,19.46
DRV_0050,2026-04-10T05:16:30.751970,5,0,0,airport,12.53,9.2,104.58,1.2,398.47,147.05
DRV_0020,2026-05-04T07:20:30.751970,7,1,0,airport,28.8,9.5,93.83,2.2,993.22,523.36
DRV_0026,2026-01-17T18:28:30.751970,18,1,1,peak_city,3.05,8.8,113.3,2.1,158.37,105.72
DRV_0007,2026-04-25T13:49:30.751970,13,0,1,local,42.41,9.3,107.68,1.1,626.26,-121.02
DRV_0037,2025-12-18T06:32:30.751970,6,0,0,airport,26.6,7.6,113.36,1.5,701.29,289.41
DRV_0043,2026-06-04T04:52:30.751970,4,0,0,peak_city,28.15,2.0,114.62,1.4,493.9,127.29
DRV_0001,2026-03-12T13:54:30.751970,13,0,0,outstation,36.29,4.6,91.37,1.2,540.63,103.2
DRV_0024,2026-02-27T01:20:30.751970,1,0,0,peak_city,48.57,1.0,98.34,1.2,717.34,167.81
DRV_0028,2026-01-03T01:41:30.751970,1,0,1,local,22.09,4.1,108.44,1.2,386.07,88.35
DRV_0040,2026-04-29T16:53:30.751970,16,0,0,outstation,15.03,5.1,93.52,1.1,214.86,-35.61
DRV_0047,2026-01-28T00:57:30.751970,0,0,0,peak_city,55.06,4.3,104.51,1.3,878.45,142.02
DRV_0006,2026-01-14T08:06:30.751970,8,1,0,local,2.76,7.0,94.45,2.9,139.53,93.95
DRV_0037,2026-04-04T02:11:30.751970,2,0,1,peak_city,6.95,10.0,102.55,1.3,177.92,19.78
DRV_0002,2026-01-08T19:02:30.751970,19,1,0,outstation,5.89,7.7,95.25,2.8,239.92,137.58
DRV_0014,2026-02-08T06:15:30.751970,6,0,1,peak_city,4.12,5.2,104.12,1.0,114.44,46.26
DRV_0039,2026-03-16T08:05:30.751970,8,1,0,outstation,46.98,5.1,103.11,1.9,1099.66,479.91
DRV_0034,2025-12-17T07:51:30.751970,7,1,0,airport,11.0,2.6,111.54,2.9,626.44,440.93
DRV_0032,2026-04-27T14:11:30.751970,14,0,0,peak_city,23.65,3.4,106.1,1.2,358.59,68.36
DRV_0042,2026-01-23T08:42:30.751970,8,1,0,peak_city,3.57,3.0,95.78,2.3,133.08,114.99
DRV_0006,2026-02-09T01:36:30.751970,1,0,0,airport,3.14,1.9,110.0,1.1,257.99,193.55
DRV_0020,2026-03-31T09:01:30.751970,9,1,0,local,7.77,3.2,108.06,2.7,292.17,204.8
DRV_0036,2025-12-26T22:03:30.751970,22,0,0,peak_city,50.15,4.6,106.7,1.1,678.52,4.86
DRV_0023,2026-01-30T04:59:30.751970,4,0,0,outstation,2.75,1.8,95.2,1.0,48.05,9.69
DRV_0017,2025-12-17T02:09:30.751970,2,0,0,outstation,12.52,6.2,100.54,1.4,231.39,41.13
DRV_0021,2026-04-16T12:40:30.751970,12,0,0,local,17.05,4.4,104.76,1.1,241.51,33.16
DRV_0013,2026-05-14T16:52:30.751970,16,0,0,local,38.2,4.7,103.8,1.2,568.09,55.2
DRV_0047,2026-04-19T16:56:30.751970,16,0,1,outstation,46.29,2.3,111.71,1.2,734.56,132.84
DRV_0007,2026-01-14T23:48:30.751970,23,0,0,outstation,53.88,8.2,100.63,1.0,661.61,-212.19
DRV_0012,2026-04-26T07:12:30.751970,7,1,1,outstation,38.74,3.3,93.48,2.7,1345.73,840.05
DRV_0018,2026-03-29T15:41:30.751970,15,0,1,local,59.1,5.7,94.29,1.1,846.56,49.17
DRV_0045,2026-06-03T14:51:30.751970,14,0,0,outstation,17.9,6.0,106.29,1.4,321.64,41.82
DRV_0007,2026-05-12T19:31:30.751970,19,1,0,peak_city,13.97,1.1,93.42,2.8,511.47,358.09
DRV_0031,2026-06-10T22:08:30.751970,22,0,0,peak_city,36.83,7.0,94.38,1.5,685.44,168.17
DRV_0017,2026-02-22T06:15:30.751970,6,0,1,airport,26.29,4.4,102.97,1.0,580.46,239.83
DRV_0026,2026-02-12T12:34:30.751970,12,0,0,airport,6.8,6.4,96.13,1.2,315.95,204.79
DRV_0010,2026-02-09T13:50:30.751970,13,0,0,airport,18.74,4.2,107.98,1.1,463.92,190.87
DRV_0016,2026-05-06T22:07:30.751970,22,0,0,airport,40.49,9.4,108.31,1.1,751.01,42.56
DRV_0039,2026-05-14T22:38:30.751970,22,0,0,peak_city,3.81,3.4,104.88,1.0,60.7,62.6
DRV_0029,2026-01-12T21:12:30.751970,21,0,0,peak_city,21.39,7.9,92.66,1.0,271.63,-61.22
DRV_0020,2026-02-21T06:31:30.751970,6,0,1,peak_city,44.23,5.5,107.21,1.2,704.98,89.4
DRV_0049,2026-01-19T21:23:30.751970,21,0,0,airport,48.37,7.3,96.8,1.3,974.01,237.38
DRV_0043,2026-04-21T20:13:30.751970,20,1,0,outstation,22.94,1.8,112.93,1.3,377.31,80.34
DRV_0036,2026-05-25T11:11:30.751970,11,0,0,local,12.74,5.9,111.82,1.4,234.99,58.48
DRV_0029,2026-05-26T11:26:30.751970,11,0,0,peak_city,48.78,6.9,107.31,1.4,840.51,88.48
DRV_0003,2025-12-19T20:56:30.751970,20,1,0,outstation,14.83,9.9,113.6,1.1,212.26,-119.24
DRV_0045,2026-04-16T06:41:30.751970,6,0,0,outstation,42.92,9.3,94.51,1.3,689.1,-91.31
DRV_0017,2026-02-18T13:43:30.751970,13,0,0,local,55.61,9.7,113.61,1.2,818.86,-260.12
DRV_0028,2026-01-04T21:44:30.751970,21,0,1,local,52.0,8.6,97.98,1.4,944.57,77.69
DRV_0018,2026-05-15T23:12:30.751970,23,0,0,local,15.34,2.1,91.92,1.3,258.81,72.01
DRV_0020,2026-05-09T14:23:30.751970,14,0,1,local,21.71,7.5,91.63,1.2,380.66,85.36
DRV_0029,2026-01-12T16:34:30.751970,16,0,0,outstation,20.49,6.6,112.15,1.3,339.11,26.55
DRV_0045,2026-05-14T01:42:30.751970,1,0,0,outstation,15.51,1.2,111.75,1.0,201.14,7.27
DRV_0029,2026-03-03T07:54:30.751970,7,1,0,peak_city,56.47,8.2,114.95,1.7,1177.4,223.4
DRV_0048,2026-05-24T21:24:30.751970,21,0,1,peak_city,46.5,4.6,102.0,1.3,794.85,163.87
DRV_0006,2026-03-23T21:10:30.751970,21,0,0,airport,26.44,7.6,95.97,1.1,565.49,188.77
DRV_0049,2026-04-16T18:33:30.751970,18,1,0,airport,22.57,3.6,97.41,1.5,628.73,344.8
DRV_0049,2025-12-24T07:50:30.751970,7,1,0,airport,24.29,7.1,95.46,2.9,1088.82,734.61
DRV_0018,2026-05-01T00:53:30.751970,0,0,0,peak_city,47.61,1.8,100.44,1.4,820.81,246.48
DRV_0006,2026-04-28T21:59:30.751970,21,0,0,peak_city,37.58,2.5,114.78,1.1,512.53,28.0
DRV_0021,2026-02-14T05:00:30.751970,5,0,1,outstation,56.68,6.8,105.19,1.3,953.68,81.0
DRV_0022,2025-12-25T12:32:30.751970,12,0,0,local,14.79,2.7,109.49,1.2,230.95,28.55
DRV_0043,2026-02-28T17:55:30.751970,17,1,1,outstation,5.35,9.7,112.09,2.9,279.85,203.09
DRV_0006,2026-03-03T23:24:30.751970,23,0,0,peak_city,42.37,2.4,110.4,1.1,575.77,17.12
DRV_0050,2026-03-26T08:06:30.751970,8,1,0,airport,14.98,5.8,104.82,2.2,628.51,401.52
DRV_0043,2026-03-02T23:34:30.751970,23,0,0,airport,53.55,9.6,111.55,1.4,1120.6,76.71
DRV_0013,2026-01-27T02:00:30.751970,2,0,0,airport,40.0,6.0,92.17,1.2,794.06,223.2
DRV_0041,2026-02-02T04:47:30.751970,4,0,0,peak_city,43.96,5.5,92.03,1.1,596.75,0.73
DRV_0036,2026-02-21T15:13:30.751970,15,0,1,outstation,41.63,1.7,111.28,1.2,667.46,188.27
DRV_0008,2026-05-12T06:58:30.751970,6,0,0,peak_city,49.83,4.1,106.95,1.3,796.87,116.02
DRV_0046,2026-06-06T19:48:30.751970,19,1,1,local,17.49,8.9,109.94,2.3,567.16,269.18
DRV_0036,2026-05-05T06:51:30.751970,6,0,0,airport,42.45,7.1,105.47,1.4,934.22,288.61
DRV_0030,2026-03-02T14:12:30.751970,14,0,0,airport,11.2,8.9,111.8,1.0,349.39,142.96
DRV_0032,2026-05-14T19:33:30.751970,19,1,0,local,21.44,7.7,94.02,2.6,707.83,383.26
DRV_0027,2026-03-31T23:41:30.751970,23,0,0,outstation,50.26,5.6,90.16,1.1,679.98,21.76
DRV_0036,2026-02-11T01:11:30.751970,1,0,0,peak_city,38.65,3.3,105.85,1.3,622.36,120.84
DRV_0005,2026-05-08T04:14:30.751970,4,0,0,local,47.23,2.0,109.03,1.3,756.3,155.95
DRV_0001,2026-04-05T03:05:30.751970,3,0,1,outstation,38.69,9.4,92.56,1.5,768.96,91.13
DRV_0010,2026-04-02T17:07:30.751970,17,1,0,peak_city,41.9,1.6,97.52,2.4,1242.64,751.64
DRV_0022,2026-02-19T22:56:30.751970,22,0,0,outstation,22.06,6.6,91.14,1.4,391.63,68.57
DRV_0021,2026-01-23T23:02:30.751970,23,0,0,peak_city,58.46,9.7,108.74,1.1,788.2,-315.41
DRV_0015,2026-04-26T18:11:30.751970,18,1,1,peak_city,41.63,5.0,96.84,3.0,1593.72,1040.21
DRV_0046,2026-03-01T15:06:30.751970,15,0,1,peak_city,26.72,5.1,94.09,1.4,519.87,149.16
DRV_0032,2026-03-09T03:44:30.751970,3,0,0,local,6.78,7.1,106.36,1.1,105.97,15.01
DRV_0007,2026-06-05T11:54:30.751970,11,0,0,outstation,57.15,2.4,100.81,1.5,1051.2,387.06
DRV_0001,2026-02-22T12:53:30.751970,12,0,1,peak_city,25.06,3.5,114.6,1.2,428.87,65.57
DRV_0005,2026-05-09T02:31:30.751970,2,0,1,local,53.86,3.1,95.33,1.0,711.29,30.04
DRV_0042,2026-02-14T08:05:30.751970,8,1,1,peak_city,52.13,5.3,114.2,1.4,946.83,215.97
DRV_0021,2026-05-25T05:32:30.751970,5,0,0,peak_city,52.38,8.0,109.27,1.4,900.99,42.06
DRV_0035,2026-01-04T17:30:30.751970,17,1,1,peak_city,9.61,1.3,113.02,2.2,336.76,241.16
DRV_0041,2026-06-04T21:22:30.751970,21,0,0,local,48.2,5.3,92.93,1.1,652.73,2.84
DRV_0028,2025-12-21T07:12:30.751970,7,1,1,airport,13.63,5.4,91.61,2.2,642.84,499.31
DRV_0029,2026-05-19T19:41:30.751970,19,1,0,airport,17.6,8.2,97.76,1.9,629.82,337.17
DRV_0003,2026-05-02T18:07:30.751970,18,1,1,airport,36.8,3.6,107.37,2.7,1482.86,947.39
DRV_0024,2026-03-23T15:08:30.751970,15,0,0,outstation,47.23,1.4,102.01,1.1,639.95,73.17
DRV_0037,2026-02-24T12:11:30.751970,12,0,0,peak_city,37.85,7.3,103.99,1.0,469.24,-142.45
